question_id,question,answer,is_hallucination,mean_entropy,max_entropy,entity_entropy,semantic_inconsistency,cross_model_disagreement
0,Who was the man behind The Chipmunks?,Ross Bagdasarian Sr.,1,0.061585119072149024,0.3118686999691321,0.019871188922651845,0.22493088245391846,0.7736545503139496
1,Which Lloyd Webber musical premiered in the US on 10th December 1993?,Sunset Boulevard.,0,0.2350965246909169,0.36423434857658404,0.17052761274808337,0.2394789457321167,0.9212392568588257
2,Who was the next British Prime Minister after Arthur Balfour?,Sir Henry Campbell-Bannerman.,0,0.1241560412212139,0.3678776254873848,0.07669993064730894,0.24728316068649292,0.5194017589092255
3,Who had a 70s No 1 hit with Kiss You All Over?,Exile.,0,0.17993069388868824,0.3597473971298791,0.17993069388868824,0.03909939527511597,0.9476317875087261
4,What claimed the life of singer Kathleen Ferrier?,Breast cancer.,0,0.12597074454910762,0.3000796419901548,0.12597074454910762,0.09653198719024658,0.8413041532039642
5,Rita Coolidge sang the title song for which Bond film?,Octopussy.,0,0.19370522808292434,0.3640934349355437,0.19370522808292434,0.5219756662845612,0.8220038861036301
6,What was the last US state to reintroduce alcohol after prohibition?,Mississippi.,1,0.18065688390316598,0.35551463233589126,0.00579913547044072,0.11544054746627808,0.5430785119533539
7,Which actress was voted Miss Greenwich Village in 1942?,Lauren Bacall,0,0.10657630145933898,0.23694448956595737,0.10657630145933898,0.36077654361724854,0.8017383515834808
8,What is the Japanese share index called?,Nikkei 225.,0,0.14899117952203111,0.35353642040935024,0.34321869442090386,0.0,0.4196007251739502
9,What was the name of Michael Jackson's autobiography written in 1988?,Moonwalk.,0,0.11696882908085952,0.3030293369851143,0.11696882908085952,0.2667495012283325,0.8035382479429245
10,In which decade did stereo records first go on sale?,1958.,1,0.18546784303886257,0.3678322302685706,0.003103455809154532,0.22895276546478271,0.5024003684520721
11,In what year's Olympics were electric timing devices and a public-address system used for the first time?,1928,1,0.000662211761181729,0.000662211761181729,0.000662211761181729,0.3425137400627136,0.7486282289028168
12,Which volcano in Tanzania is the highest mountain in Africa?,Mount Kilimanjaro.,0,0.15396623974384752,0.3669289123779472,0.15396623974384752,0.12704551219940186,0.49298614263534546
13,The flag of Libya is a plain rectangle of which color?,Green.,0,0.18514798584626746,0.36683165875455703,0.18514798584626746,0.06921148300170898,0.6659532785415649
14,Of which African country is Niamey the capital?,Niger.,0,0.18180829713292163,0.3450964053691313,0.18180829713292163,0.23675882816314697,0.5521240830421448
15,Who was the director of the CIA from 1976-81?,Stansfield Turner,1,0.08819629155285592,0.3326681671012608,0.08819629155285592,0.12154215574264526,0.7496472001075745
16,Which musical featured the song The Street Where You Live?,My Fair Lady.,0,0.15684304909674032,0.3674003668782093,0.15684304909674032,0.3016608953475952,0.759967029094696
17,"""Who was the target of the failed """"Bomb Plot"""" of 1944?""",Adolf Hitler.,0,0.16087870078036695,0.30259406530231264,0.12619368956182972,0.3335186243057251,0.7540086358785629
18,Who had an 80s No 1 hit with Hold On To The Nights?,Dennis DeYoung,1,0.02383409283275022,0.04469454113042745,0.02383409283275022,0.43729233741760254,0.8978342115879059
19,Who directed the classic 30s western Stagecoach?,John Ford.,0,0.15205384468160146,0.3642656819604663,0.04594792604216905,0.0518798828125,0.690270721912384
20,Dave Gilmore and Roger Waters were in which rock group?,Pink Floyd.,0,0.17299506273545018,0.36787698006957875,0.07555410406838588,0.2352294921875,0.6505603194236755
21,Which highway was Revisited in a classic 60s album by Bob Dylan?,Highway 61.,0,0.1782574562727801,0.36717643220055757,0.07105418491501751,0.23446881771087646,0.24489986896514893
22,Which was the only eastern bloc country to participate in the 1984 LA Olympics?,Romania.,0,0.1969949224612767,0.35971413371780253,0.034275711204750856,0.13303977251052856,0.48102569580078125
23,Which 90s sci fi series with James Belushi was based on Bruce Wagner's comic strip of the same name?,Wild Palms.,0,0.18408676912225108,0.36785338326797595,0.18408676912225108,0.4708210229873657,0.7634124606847763
24,If I Were A Rich Man Was a big hit from which stage show?,Fiddler on the Roof.,0,0.10358342384864855,0.3678200126228481,0.10358342384864855,0.18836897611618042,0.8395916372537613
25,Men Against the Sea and Pitcairn's Island were two sequels to what famous novel?,Mutiny on the Bounty.,0,0.23598033123628348,0.35324522685419185,0.23598033123628348,0.01734369993209839,0.8367255926132202
26,What was Truman Capote's last name before he was adopted by his stepfather?,Monroe.,1,0.18293251182832304,0.3647790814621172,0.0010859421945289144,0.5563350319862366,0.553581953048706
27,"In Lewis Carroll's poem The Hunting of the Snark, what did the elusive, troublesome snark turn into to fool hunters?",A Boojum.,0,0.10600216407212623,0.36328678461363173,0.02872411294142406,0.3256492018699646,0.8566645979881287
28,"In the Bible, who did the sun and moon stand still before?",Joshua.,0,0.1868662156912687,0.36778888943864874,0.005943541943888658,0.26384228467941284,0.681047797203064
29,What Michelle Pfeiffer movie got a boost from the Coolio song Gangsta's Paradise?,Dangerous Minds.,0,0.1535145963997378,0.3630353628696557,0.037128635192214064,0.0,0.7963145077228546
